Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (₹),Revenue (₹),Region
2024-02-04,AD004,Hackathon,YouTube,17–21 Age,251547,15827,2989,1925,804,"₹ 123,903","₹ 5,851,415",West India
2024-02-05,AD004,Hackathon,YouTube,17–21 Age,189912,12514,2711,1616,890,"₹ 132,682","₹ 5,279,957",North India
2024-02-06,AD004,Hackathon,YouTube,25–35 Age,202653,7479,1790,1010,592,"₹ 93,099","₹ 3,172,504",West India
2024-02-07,AD004,Hackathon,YouTube,17–21 Age,72831,5085,1192,648,367,"₹ 65,890","₹ 2,806,227",West India
2024-02-08,AD004,Hackathon,YouTube,25–35 Age,215776,15117,2292,1195,520,"₹ 203,852","₹ 3,424,735",East India
2024-02-09,AD004,Hackathon,YouTube,17–21 Age,72443,3074,557,275,119,"₹ 67,538","₹ 364,638",South India
2024-02-10,AD004,Hackathon,YouTube,25–35 Age,155169,10534,1826,964,488,"₹ 65,549","₹ 2,007,650",South India
2024-02-11,AD004,Hackathon,YouTube,17–21 Age,145600,10817,2620,1253,628,"₹ 143,250","₹ 3,766,197",Pan India
2024-02-12,AD004,Hackathon,YouTube,22–27 Age,235449,17901,3572,1970,869,"₹ 156,170","₹ 3,779,197",East India
2024-02-13,AD004,Hackathon,YouTube,25–35 Age,92082,5873,1376,740,425,"₹ 72,925","₹ 2,747,864",North India
2024-02-14,AD004,Hackathon,YouTube,22–27 Age,69767,4894,1047,585,275,"₹ 47,792","₹ 2,145,764",Pan India
2024-02-15,AD004,Hackathon,YouTube,17–21 Age,131440,4550,1063,659,286,"₹ 119,991","₹ 1,990,224",East India
2024-02-16,AD004,Hackathon,YouTube,25–35 Age,281475,14540,2460,1239,519,"₹ 112,655","₹ 3,920,124",South India
2024-02-17,AD004,Hackathon,YouTube,17–21 Age,138904,6550,1548,797,435,"₹ 128,171","₹ 3,043,169",South India
2024-02-18,AD004,Hackathon,YouTube,25–35 Age,294254,13308,3157,1809,752,"₹ 251,733","₹ 4,143,707",Pan India
2024-02-19,AD004,Hackathon,YouTube,17–21 Age,176880,12551,2597,1551,905,"₹ 165,229","₹ 3,242,545",South India
2024-02-20,AD004,Hackathon,YouTube,25–35 Age,135158,10392,2062,977,480,"₹ 101,398","₹ 1,965,140",North India
2024-02-21,AD004,Hackathon,YouTube,22–27 Age,236532,17823,2773,1664,752,"₹ 209,088","₹ 2,447,522",Pan India
2024-02-22,AD004,Hackathon,YouTube,17–21 Age,279307,12903,2336,1311,548,"₹ 265,211","₹ 3,931,416",North India
2024-02-23,AD004,Hackathon,YouTube,17–21 Age,51984,2911,604,374,222,"₹ 27,008","₹ 1,729,749",South India
2024-02-24,AD004,Hackathon,YouTube,25–35 Age,103947,7149,1414,811,375,"₹ 55,024","₹ 1,623,226",South India
2024-02-25,AD004,Hackathon,YouTube,22–27 Age,61783,3786,675,431,230,"₹ 48,713","₹ 1,095,171",East India
2024-02-26,AD004,Hackathon,YouTube,25–35 Age,211522,8146,1649,828,347,"₹ 139,232","₹ 1,343,596",East India
2024-02-27,AD004,Hackathon,YouTube,22–27 Age,55880,1910,340,220,103,"₹ 40,730","₹ 486,884",South India
2024-02-28,AD004,Hackathon,YouTube,17–21 Age,167535,11504,2177,1304,556,"₹ 110,297","₹ 4,174,013",West India
2024-02-29,AD004,Hackathon,YouTube,25–35 Age,206944,15993,2610,1657,747,"₹ 170,089","₹ 2,704,688",West India
2024-03-01,AD001,UG Admission,Google Ads,17–21 Age,86043,5121,1032,663,383,"₹ 84,842","₹ 2,067,524",Pan India
2024-03-01,AD004,Hackathon,YouTube,22–27 Age,238624,16826,3034,1553,882,"₹ 121,440","₹ 5,523,180",East India
2024-03-02,AD001,UG Admission,Google Ads,17–21 Age,106383,8132,1989,1180,597,"₹ 68,121","₹ 4,167,141",South India
2024-03-02,AD004,Hackathon,YouTube,25–35 Age,137353,10177,1561,926,440,"₹ 62,507","₹ 2,300,982",Pan India
2024-03-03,AD001,UG Admission,Google Ads,17–21 Age,190183,9911,2343,1331,712,"₹ 170,515","₹ 2,633,312",North India
2024-03-03,AD004,Hackathon,YouTube,17–21 Age,248339,16962,3496,1806,789,"₹ 175,686","₹ 2,908,345",East India
2024-03-04,AD001,UG Admission,Google Ads,17–21 Age,151825,7293,1728,1114,497,"₹ 76,966","₹ 3,527,269",West India
2024-03-04,AD004,Hackathon,YouTube,17–21 Age,56983,2037,418,208,123,"₹ 53,252","₹ 737,803",Pan India
2024-03-05,AD001,UG Admission,Google Ads,17–21 Age,70110,3013,750,468,238,"₹ 52,948","₹ 1,892,178",South India
2024-03-05,AD004,Hackathon,YouTube,22–27 Age,161034,5095,881,462,224,"₹ 84,019","₹ 923,164",South India
2024-03-06,AD001,UG Admission,Google Ads,17–21 Age,127872,7698,1526,763,381,"₹ 116,041","₹ 2,303,108",Pan India
2024-03-06,AD004,Hackathon,YouTube,17–21 Age,207444,12055,2103,1256,542,"₹ 112,400","₹ 2,091,662",North India
2024-03-07,AD001,UG Admission,Google Ads,17–21 Age,125458,8435,1509,693,366,"₹ 66,260","₹ 2,398,363",West India
2024-03-07,AD004,Hackathon,YouTube,25–35 Age,125186,5438,1013,516,288,"₹ 70,257","₹ 1,655,474",East India
2024-03-08,AD001,UG Admission,Google Ads,17–21 Age,52749,3113,594,267,132,"₹ 47,097","₹ 644,766",West India
2024-03-08,AD004,Hackathon,YouTube,17–21 Age,153379,7139,1663,957,429,"₹ 102,014","₹ 1,463,625",South India
2024-03-09,AD001,UG Admission,Google Ads,17–21 Age,55614,3540,572,343,154,"₹ 36,079","₹ 646,247",North India
2024-03-09,AD004,Hackathon,YouTube,17–21 Age,123685,8520,2108,1010,406,"₹ 122,048","₹ 1,454,477",South India
2024-03-10,AD001,UG Admission,Google Ads,17–21 Age,160586,9019,1457,790,427,"₹ 118,320","₹ 2,536,805",North India
2024-03-10,AD004,Hackathon,YouTube,25–35 Age,226639,12635,2302,1218,650,"₹ 199,476","₹ 3,964,941",Pan India
2024-03-11,AD001,UG Admission,Google Ads,17–21 Age,73407,5606,883,498,256,"₹ 70,483","₹ 1,018,846",West India
2024-03-11,AD004,Hackathon,YouTube,22–27 Age,213309,8042,1913,1209,533,"₹ 164,270","₹ 4,063,881",North India
2024-03-12,AD001,UG Admission,Google Ads,17–21 Age,216597,15507,2335,1445,726,"₹ 192,462","₹ 2,305,973",North India
2024-03-12,AD004,Hackathon,YouTube,25–35 Age,226506,7970,1292,750,420,"₹ 175,995","₹ 2,066,587",Pan India
2024-03-13,AD001,UG Admission,Google Ads,17–21 Age,175194,5344,957,551,261,"₹ 169,204","₹ 976,767",West India
2024-03-13,AD004,Hackathon,YouTube,22–27 Age,185895,10159,1559,796,319,"₹ 152,447","₹ 2,203,004",East India
2024-03-14,AD001,UG Admission,Google Ads,17–21 Age,188495,10549,1800,1004,441,"₹ 182,807","₹ 2,268,459",West India
2024-03-14,AD004,Hackathon,YouTube,22–27 Age,61348,4749,863,560,278,"₹ 41,335","₹ 2,016,293",Pan India
2024-03-15,AD001,UG Admission,Google Ads,17–21 Age,100344,8008,1473,816,424,"₹ 77,930","₹ 1,344,335",East India
2024-03-15,AD004,Hackathon,YouTube,22–27 Age,194652,12957,2628,1452,793,"₹ 188,269","₹ 5,847,270",East India
2024-03-16,AD001,UG Admission,Google Ads,17–21 Age,275868,10436,1877,1023,453,"₹ 133,645","₹ 2,895,845",West India
2024-03-16,AD004,Hackathon,YouTube,22–27 Age,144241,6954,1273,706,292,"₹ 70,142","₹ 1,034,342",East India
2024-03-17,AD001,UG Admission,Google Ads,17–21 Age,292584,23331,3605,1899,921,"₹ 169,598","₹ 3,162,279",West India
2024-03-17,AD004,Hackathon,YouTube,25–35 Age,117460,8173,1756,887,365,"₹ 93,791","₹ 1,580,107",South India
2024-03-18,AD001,UG Admission,Google Ads,17–21 Age,160356,10619,2317,1167,687,"₹ 89,639","₹ 4,671,783",South India
2024-03-18,AD004,Hackathon,YouTube,17–21 Age,58163,3769,797,395,178,"₹ 25,555","₹ 1,293,768",North India
2024-03-19,AD001,UG Admission,Google Ads,17–21 Age,172256,8896,2048,985,576,"₹ 152,568","₹ 1,915,390",East India
2024-03-19,AD004,Hackathon,YouTube,17–21 Age,258133,14755,2438,1536,617,"₹ 103,656","₹ 4,524,609",South India
2024-03-20,AD001,UG Admission,Google Ads,17–21 Age,203648,8947,1995,1108,625,"₹ 126,624","₹ 3,738,990",South India
2024-03-20,AD004,Hackathon,YouTube,22–27 Age,219527,10693,1929,990,415,"₹ 203,424","₹ 2,119,680",South India
2024-03-21,AD001,UG Admission,Google Ads,17–21 Age,85480,4749,1166,617,295,"₹ 77,653","₹ 1,845,722",North India
2024-03-21,AD004,Hackathon,YouTube,17–21 Age,284030,14236,2183,1152,592,"₹ 262,334","₹ 2,663,780",North India
2024-03-22,AD001,UG Admission,Google Ads,17–21 Age,298776,13733,2795,1309,703,"₹ 212,230","₹ 5,350,896",West India
2024-03-22,AD004,Hackathon,YouTube,22–27 Age,64434,3679,729,397,235,"₹ 59,042","₹ 1,242,049",Pan India
2024-03-23,AD001,UG Admission,Google Ads,17–21 Age,245366,12959,2802,1515,836,"₹ 241,060","₹ 6,091,994",North India
2024-03-23,AD004,Hackathon,YouTube,25–35 Age,53724,1683,344,159,73,"₹ 49,801","₹ 513,710",South India
2024-03-24,AD001,UG Admission,Google Ads,17–21 Age,240769,8468,1835,987,400,"₹ 145,335","₹ 2,921,642",South India
2024-03-24,AD004,Hackathon,YouTube,17–21 Age,79876,4171,757,434,226,"₹ 75,946","₹ 1,660,036",North India
2024-03-25,AD001,UG Admission,Google Ads,17–21 Age,122186,5865,1463,777,313,"₹ 54,950","₹ 1,100,080",South India
2024-03-25,AD004,Hackathon,YouTube,17–21 Age,199247,9891,2264,1217,616,"₹ 105,185","₹ 4,785,145",East India
2024-03-26,AD001,UG Admission,Google Ads,17–21 Age,274044,13557,2893,1644,828,"₹ 131,708","₹ 6,173,760",North India
2024-03-26,AD004,Hackathon,YouTube,22–27 Age,244500,9131,2098,1346,655,"₹ 146,176","₹ 3,464,552",East India
2024-03-27,AD001,UG Admission,Google Ads,17–21 Age,75569,3044,699,363,210,"₹ 43,169","₹ 954,212",Pan India
2024-03-27,AD004,Hackathon,YouTube,17–21 Age,62090,3649,636,301,174,"₹ 58,687","₹ 569,195",South India
2024-03-28,AD001,UG Admission,Google Ads,17–21 Age,151614,5544,1000,552,221,"₹ 66,294","₹ 838,838",South India
2024-03-28,AD004,Hackathon,YouTube,17–21 Age,275576,19381,2993,1920,883,"₹ 152,034","₹ 2,850,576",Pan India
2024-03-29,AD001,UG Admission,Google Ads,17–21 Age,128767,7454,1142,540,253,"₹ 99,239","₹ 960,812",West India
2024-03-29,AD004,Hackathon,YouTube,25–35 Age,94022,2854,695,411,192,"₹ 58,117","₹ 1,323,998",North India
2024-03-30,AD001,UG Admission,Google Ads,17–21 Age,168427,7496,1354,707,399,"₹ 121,005","₹ 2,780,010",North India
2024-03-30,AD004,Hackathon,YouTube,17–21 Age,153437,5657,1049,519,211,"₹ 147,977","₹ 1,161,334",East India
2024-03-31,AD001,UG Admission,Google Ads,17–21 Age,80636,5687,1072,607,344,"₹ 59,285","₹ 2,288,813",East India
2024-03-31,AD004,Hackathon,YouTube,25–35 Age,158630,4927,822,475,264,"₹ 141,499","₹ 1,140,876",East India
2024-04-01,AD001,UG Admission,Google Ads,17–21 Age,186499,6536,1354,621,368,"₹ 85,229","₹ 2,637,714",West India
2024-04-02,AD001,UG Admission,Google Ads,17–21 Age,280440,19647,3222,1784,885,"₹ 254,339","₹ 4,246,093",North India
2024-04-03,AD001,UG Admission,Google Ads,17–21 Age,79911,2837,458,283,153,"₹ 34,959","₹ 584,663",South India
2024-04-04,AD001,UG Admission,Google Ads,17–21 Age,274653,14146,2816,1386,561,"₹ 208,104","₹ 3,892,838",West India
2024-04-05,AD001,UG Admission,Google Ads,17–21 Age,165340,10645,1684,807,389,"₹ 129,203","₹ 3,018,743",West India
2024-04-06,AD001,UG Admission,Google Ads,17–21 Age,282778,15067,2772,1717,949,"₹ 219,848","₹ 5,156,799",West India
2024-04-07,AD001,UG Admission,Google Ads,17–21 Age,285987,22561,5121,2466,1091,"₹ 146,348","₹ 3,872,315",Pan India
2024-04-08,AD001,UG Admission,Google Ads,17–21 Age,200034,14443,3338,1578,716,"₹ 189,342","₹ 5,411,519",Pan India
2024-04-09,AD001,UG Admission,Google Ads,17–21 Age,114098,4796,979,559,277,"₹ 95,245","₹ 1,500,707",Pan India
2024-04-10,AD001,UG Admission,Google Ads,17–21 Age,230730,8044,1273,591,285,"₹ 100,418","₹ 2,085,502",North India
2024-04-11,AD001,UG Admission,Google Ads,17–21 Age,221570,12355,2256,1301,521,"₹ 200,218","₹ 2,522,441",Pan India
2024-04-12,AD001,UG Admission,Google Ads,17–21 Age,241871,18824,3533,2181,917,"₹ 126,584","₹ 7,087,677",South India
2024-04-13,AD001,UG Admission,Google Ads,17–21 Age,288853,12032,2732,1717,785,"₹ 202,095","₹ 2,398,172",East India
2024-04-14,AD001,UG Admission,Google Ads,17–21 Age,213540,14462,3456,1678,696,"₹ 108,898","₹ 3,431,908",West India
2024-04-15,AD001,UG Admission,Google Ads,17–21 Age,72233,3762,590,318,184,"₹ 57,707","₹ 1,314,021",West India
2024-04-16,AD001,UG Admission,Google Ads,17–21 Age,167205,5074,1208,604,322,"₹ 115,667","₹ 2,387,204",West India
2024-04-17,AD001,UG Admission,Google Ads,17–21 Age,234584,15677,3010,1913,842,"₹ 190,235","₹ 4,025,667",West India
2024-04-18,AD001,UG Admission,Google Ads,17–21 Age,50267,3518,817,515,226,"₹ 39,782","₹ 893,338",West India
2024-04-19,AD001,UG Admission,Google Ads,17–21 Age,147737,9789,2427,1461,710,"₹ 115,882","₹ 4,999,995",South India
2024-04-20,AD001,UG Admission,Google Ads,17–21 Age,103945,5827,1089,686,290,"₹ 45,624","₹ 1,291,459",South India
2024-04-21,AD001,UG Admission,Google Ads,17–21 Age,180309,13125,2445,1328,595,"₹ 107,078","₹ 4,718,407",South India
2024-04-22,AD001,UG Admission,Google Ads,17–21 Age,165998,7203,1295,834,489,"₹ 155,076","₹ 3,804,207",South India
2024-04-23,AD001,UG Admission,Google Ads,17–21 Age,204547,9363,1756,1126,509,"₹ 150,706","₹ 2,219,931",Pan India
2024-04-24,AD001,UG Admission,Google Ads,17–21 Age,124784,7174,1288,783,351,"₹ 103,745","₹ 1,765,941",Pan India
2024-04-25,AD001,UG Admission,Google Ads,17–21 Age,132967,10361,1745,990,467,"₹ 65,513","₹ 1,832,026",Pan India
2024-04-26,AD001,UG Admission,Google Ads,17–21 Age,260506,13356,3163,1998,854,"₹ 256,268","₹ 4,686,284",West India
2024-04-27,AD001,UG Admission,Google Ads,17–21 Age,229208,9355,2081,1043,469,"₹ 178,259","₹ 2,674,524",Pan India
2024-04-28,AD001,UG Admission,Google Ads,17–21 Age,171241,7348,1294,719,302,"₹ 85,665","₹ 1,939,709",West India
2024-04-29,AD001,UG Admission,Google Ads,17–21 Age,161956,10797,1786,1036,542,"₹ 150,184","₹ 2,235,498",East India
2024-04-30,AD001,UG Admission,Google Ads,17–21 Age,61492,4436,909,457,244,"₹ 50,084","₹ 751,942",West India
2024-05-01,AD001,UG Admission,Google Ads,17–21 Age,203882,9925,2110,963,504,"₹ 181,727","₹ 3,279,196",South India
2024-05-02,AD001,UG Admission,Google Ads,17–21 Age,52572,2746,633,286,115,"₹ 31,495","₹ 721,472",West India
2024-05-03,AD001,UG Admission,Google Ads,17–21 Age,182398,9821,2358,1144,659,"₹ 117,139","₹ 4,142,036",Pan India
2024-05-04,AD001,UG Admission,Google Ads,17–21 Age,291292,19445,3115,1736,1028,"₹ 264,153","₹ 6,279,651",South India
2024-05-05,AD001,UG Admission,Google Ads,17–21 Age,209896,11020,2016,1282,676,"₹ 134,786","₹ 5,166,292",West India
2024-05-06,AD001,UG Admission,Google Ads,17–21 Age,212729,11086,2540,1442,785,"₹ 148,219","₹ 2,403,528",Pan India
2024-05-07,AD001,UG Admission,Google Ads,17–21 Age,53575,1779,383,198,83,"₹ 31,495","₹ 562,987",South India
2024-05-08,AD001,UG Admission,Google Ads,17–21 Age,77717,5458,1240,600,252,"₹ 39,734","₹ 1,374,433",North India
2024-05-09,AD001,UG Admission,Google Ads,17–21 Age,254812,8231,1789,905,508,"₹ 214,463","₹ 3,712,872",Pan India
2024-05-10,AD001,UG Admission,Google Ads,17–21 Age,159338,8621,1987,1010,560,"₹ 121,167","₹ 2,837,407",Pan India
2024-05-11,AD001,UG Admission,Google Ads,17–21 Age,107691,5395,912,434,235,"₹ 50,973","₹ 1,299,358",North India
2024-05-12,AD001,UG Admission,Google Ads,17–21 Age,150217,9087,1717,921,420,"₹ 84,200","₹ 2,218,830",North India
2024-05-13,AD001,UG Admission,Google Ads,17–21 Age,227093,11820,2504,1225,522,"₹ 192,460","₹ 2,362,548",North India
2024-05-14,AD001,UG Admission,Google Ads,17–21 Age,212823,12602,1904,1005,425,"₹ 107,267","₹ 1,912,335",West India
2024-05-15,AD001,UG Admission,Google Ads,17–21 Age,129087,4033,640,346,198,"₹ 101,206","₹ 1,581,964",West India
2024-05-16,AD001,UG Admission,Google Ads,17–21 Age,95904,4183,667,322,147,"₹ 66,126","₹ 751,735",North India
2024-05-17,AD001,UG Admission,Google Ads,17–21 Age,135876,8214,1729,909,441,"₹ 85,485","₹ 2,700,294",Pan India
2024-05-18,AD001,UG Admission,Google Ads,17–21 Age,280625,14687,2934,1372,655,"₹ 191,299","₹ 3,980,786",Pan India
2024-05-19,AD001,UG Admission,Google Ads,17–21 Age,99328,5165,1149,717,314,"₹ 59,407","₹ 1,218,840",Pan India
2024-05-20,AD001,UG Admission,Google Ads,17–21 Age,144094,11075,2057,1117,577,"₹ 118,501","₹ 3,178,344",North India
2024-05-21,AD001,UG Admission,Google Ads,17–21 Age,257103,13993,3038,1674,939,"₹ 151,754","₹ 5,715,057",South India
2024-05-22,AD001,UG Admission,Google Ads,17–21 Age,209828,14119,2701,1585,667,"₹ 164,162","₹ 3,749,676",North India
2024-05-23,AD001,UG Admission,Google Ads,17–21 Age,218859,11905,1854,941,482,"₹ 120,755","₹ 1,563,740",East India
2024-05-24,AD001,UG Admission,Google Ads,17–21 Age,210510,12742,2399,1408,810,"₹ 182,684","₹ 6,159,534",West India
2024-05-25,AD001,UG Admission,Google Ads,17–21 Age,112134,3488,542,286,159,"₹ 76,411","₹ 520,844",North India
2024-05-26,AD001,UG Admission,Google Ads,17–21 Age,167323,6870,1386,656,339,"₹ 154,890","₹ 2,689,432",West India
2024-05-27,AD001,UG Admission,Google Ads,17–21 Age,71573,3385,572,368,169,"₹ 37,172","₹ 1,300,603",South India
2024-05-28,AD001,UG Admission,Google Ads,17–21 Age,157823,9513,2121,1051,506,"₹ 109,850","₹ 3,668,864",South India
2024-05-29,AD001,UG Admission,Google Ads,17–21 Age,170857,13220,2821,1398,619,"₹ 96,132","₹ 4,551,262",North India
2024-05-30,AD001,UG Admission,Google Ads,17–21 Age,286098,8605,1496,757,307,"₹ 284,696","₹ 2,297,720",North India
2024-05-31,AD001,UG Admission,Google Ads,17–21 Age,179655,7512,1329,827,420,"₹ 177,941","₹ 2,774,452",South India
2024-06-01,AD001,UG Admission,Google Ads,17–21 Age,200920,10462,2244,1338,750,"₹ 142,412","₹ 4,242,470",West India
2024-06-02,AD001,UG Admission,Google Ads,17–21 Age,277733,19722,3356,1999,1087,"₹ 267,369","₹ 6,633,450",East India
2024-06-03,AD001,UG Admission,Google Ads,17–21 Age,163525,6314,1573,794,445,"₹ 161,244","₹ 2,892,185",East India
2024-06-04,AD001,UG Admission,Google Ads,17–21 Age,57200,2876,542,295,144,"₹ 40,656","₹ 1,131,480",North India
2024-06-05,AD001,UG Admission,Google Ads,17–21 Age,138496,6165,1152,534,238,"₹ 78,356","₹ 1,666,242",West India
2024-06-06,AD001,UG Admission,Google Ads,17–21 Age,173098,12987,2605,1205,678,"₹ 171,935","₹ 4,701,885",East India
2024-06-07,AD001,UG Admission,Google Ads,17–21 Age,132867,6166,1353,871,423,"₹ 110,776","₹ 1,886,619",North India
2024-06-08,AD001,UG Admission,Google Ads,17–21 Age,78405,5902,1106,584,309,"₹ 59,265","₹ 1,624,993",Pan India
2024-06-09,AD001,UG Admission,Google Ads,17–21 Age,123612,8089,1527,775,424,"₹ 113,946","₹ 3,146,851",Pan India
2024-06-10,AD001,UG Admission,Google Ads,17–21 Age,195933,8997,1665,915,447,"₹ 189,378","₹ 2,736,848",North India
2024-06-11,AD001,UG Admission,Google Ads,17–21 Age,107645,6490,1396,669,394,"₹ 64,452","₹ 2,150,211",South India
2024-06-12,AD001,UG Admission,Google Ads,17–21 Age,126990,3967,640,342,195,"₹ 78,557","₹ 817,560",South India
2024-06-13,AD001,UG Admission,Google Ads,17–21 Age,173173,6384,1547,788,399,"₹ 127,532","₹ 2,683,478",East India
2024-06-14,AD001,UG Admission,Google Ads,17–21 Age,267033,20262,3713,2404,1299,"₹ 216,742","₹ 7,943,328",Pan India
2024-06-15,AD001,UG Admission,Google Ads,17–21 Age,132726,7918,1387,700,353,"₹ 57,062","₹ 1,916,053",East India
2024-06-16,AD001,UG Admission,Google Ads,17–21 Age,251270,9386,1500,689,349,"₹ 244,868","₹ 2,427,244",North India
2024-06-17,AD001,UG Admission,Google Ads,17–21 Age,207125,16396,3081,1427,767,"₹ 130,265","₹ 5,214,044",West India
2024-06-18,AD001,UG Admission,Google Ads,17–21 Age,224667,15878,3948,2098,1224,"₹ 195,774","₹ 4,343,633",East India
2024-06-19,AD001,UG Admission,Google Ads,17–21 Age,295874,20384,3505,2023,974,"₹ 195,141","₹ 5,500,365",East India
2024-06-20,AD001,UG Admission,Google Ads,17–21 Age,205409,7026,1119,706,423,"₹ 175,825","₹ 1,322,998",Pan India
2024-06-21,AD001,UG Admission,Google Ads,17–21 Age,189047,7231,1473,846,469,"₹ 149,311","₹ 2,655,171",North India
2024-06-22,AD001,UG Admission,Google Ads,17–21 Age,174907,8495,2121,1059,425,"₹ 134,701","₹ 2,590,999",North India
2024-06-23,AD001,UG Admission,Google Ads,17–21 Age,176167,10868,1936,1164,627,"₹ 121,892","₹ 4,751,275",East India
2024-06-24,AD001,UG Admission,Google Ads,17–21 Age,170905,8986,2123,1289,772,"₹ 77,321","₹ 3,546,992",Pan India
2024-06-25,AD001,UG Admission,Google Ads,17–21 Age,92195,6158,1102,514,217,"₹ 53,345","₹ 1,158,160",West India
2024-06-26,AD001,UG Admission,Google Ads,17–21 Age,144589,11439,2189,1146,674,"₹ 93,883","₹ 3,774,177",Pan India
2024-06-27,AD001,UG Admission,Google Ads,17–21 Age,218634,13467,2852,1603,838,"₹ 196,856","₹ 2,571,768",North India
2024-06-28,AD001,UG Admission,Google Ads,17–21 Age,224017,17218,3927,2217,1085,"₹ 145,416","₹ 7,154,155",North India
2024-06-29,AD001,UG Admission,Google Ads,17–21 Age,99562,5277,1146,694,296,"₹ 73,479","₹ 920,163",North India
2024-06-30,AD001,UG Admission,Google Ads,17–21 Age,247894,9939,2312,1356,632,"₹ 174,102","₹ 4,208,263",West India
