hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.3,108.28,8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.21,108.82,8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.2,109.36,8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,5,110.79,109.69,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,6,111.91,110.43,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,7,112.11,110.81,8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,8,112.59,111.33,8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,9,113.04,112.06,8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,10,113.2,112.26,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,11,113.5,112.78,8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,12,113.79,113.39,8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,1,114,114.11,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,2,114.35,114.32,7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,3,115.08,114.71,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,4,116.25,115.36,7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,5,117.1,115.93,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,6,117.81,116.22,7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,7,117.86,116.47,7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,8,118.26,116.91,7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,9,118.31,117.23,7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,10,118.9,117.9,7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,11,119.05,118.33,7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,12,118.82,118.44,7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,1,119.02,119.21,7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,2,119.83,119.79,7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,3,120.36,120,7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,4,121.67,120.73,7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,5,121.97,120.7,7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,6,123.19,121.52,7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,7,123.62,122.1,7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,8,124.2,122.77,7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,9,124.46,123.29,7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,10,124.73,123.68,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,11,124.59,123.86,7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,12,125.02,124.67,7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,1,124.83,125.1,7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,2,125.82,125.76,7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,3,126.64,126.25,7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,4,128.17,127.21,7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,5,128.88,127.48,7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,6,129.42,127.66,6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,7,130.04,128.38,6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,8,129.79,128.27,6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,9,129.95,128.7,6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,10,129.8,128.71,6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,11,130.62,129.91,6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,12,130.46,130.16,6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,1,129.92,130.25,6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,2,130.51,130.46,6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,3,131.65,131.21,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,4,132.03,131.08,6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,5,133.47,131.97,6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,6,133.95,132.14,6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,7,134.29,132.51,6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,8,134.49,132.9,6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,9,134.43,133.11,6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,10,134.72,133.59,6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,11,134.64,133.94,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,12,134.52,134.26,6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,1,134.39,134.74,6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,2,135.6,135.56,6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,3,136.47,135.97,6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,4,137.26,136.31,6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,5,138.34,136.74,6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,6,139.29,137.41,6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,7,139.62,137.71,6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,8,139.94,138.25,6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,9,140.47,139.04,6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,10,141.01,139.83,6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,11,141.39,140.71,6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,12,141.26,141.05,6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,1,141.19,141.52,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,2,142.42,142.42,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,3,143.32,142.77,6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,4,144.14,143.17,6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,5,145.88,144.18,6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,6,146.66,144.66,6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,7,147.39,145.33,6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,8,148.1,146.28,6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,9,148.07,146.51,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,10,148.47,147.22,6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,11,148.16,147.47,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,12,148.37,148.22,6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,1,149.53,149.86,6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,2,149.15,149.2,6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,3,151.12,150.57,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,4,152.18,151.18,6090000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,5,153.35,151.54,6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,6,154.71,152.58,6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,7,155.48,153.27,6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,8,155.71,153.74,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,9,155.86,154.15,6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,10,155.94,154.58,5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,11,155.82,155.12,5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,12,156.19,156.09,5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,1,156.36,156.72,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,2,157.3,157.44,5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,3,158.42,157.89,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,4,159.69,158.64,5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,5,161.01,159.11,5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,6,161.79,159.52,5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,7,162.49,160.12,5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,8,162.79,160.64,5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,9,163.11,161.27,5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,10,163.79,162.33,5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,11,163.27,162.54,5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,12,163.19,163.12,5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,1,163.51,163.97,5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,2,164.05,164.32,5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,3,165.5,165.03,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,4,166.4,165.29,5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,5,168,165.95,5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,6,169.2,166.77,5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,7,169.68,167.14,5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,8,170.02,167.67,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,9,170.5,168.52,5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,10,170.58,168.99,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,11,170.94,170.19,5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,12,170.35,170.32,5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,1,170.87,171.48,5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,2,171.42,171.85,5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,3,172.52,172.14,5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,4,173.96,172.75,5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,5,175.78,173.52,5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,6,176.51,173.88,5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,7,177.49,174.74,5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,8,178.07,175.5,5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,9,178.05,175.94,5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,10,178.59,176.92,5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,11,178.56,177.83,5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,12,178.58,178.64,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,1,177.52,178.34,5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,2,179.34,179.95,5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,3,180.44,180.17,5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,4,182.02,180.71,5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,5,183.93,181.39,5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,6,185.13,182.2,5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,7,185.85,182.85,5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
