Purchase__basketValueGross,Purchase__purchaseType,Purchase__overallBasketSavings,Purchase__storeId,Purchase__paymentType__category,Purchase__paymentType__amount,Purchase__timeStamp,Purchase__basketValueNet,Purchase__says,Purchase__storeName,Purchase__storeFormat,Purchase__product__name,Purchase__product__quantity,Purchase__product__channel,Purchase__product__price
,,,,,,,,,,,Linda Mccartney Organic Barista Coconut Drink 1L,1,IN_STORE,2
64.32,IN_STORE,10.55,3189,NA,53.77,40:04.8,53.77,NA,SOUTHWARK,SuperStore,Mancave Caffeine Shampoo 200Ml,1,IN_STORE,5.5
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Tesco Large Chicken Fillet Pack 1.6Kg,1,IN_STORE,8.45
,,,,,,,,,,,Method Wood Floor Cleaner 739Ml,2,IN_STORE,4
,,,,,,,,,,,Gressingham Duck Fillets 250G,2,IN_STORE,4.25
,,,,,,,,,,,Buxton Sparkling 6X1litre,1,IN_STORE,3
,,,,,,,,,,,Tesco Twin Garlic Baguette 410G,1,IN_STORE,1.6
,,,,,,,,,,,Glade Aromatherapy Candle Calm Mind 260G,1,IN_STORE,9
,,,,,,,,,,,Nivea For Men Dry Antiperspirant Deodorant 250Ml,1,IN_STORE,1.6
,,,,,,,,,,,Princes Drained Tuna Chunk In Brine 110G,3,IN_STORE,1.5
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1,IN_STORE,1
,,,,,,,,,,,Tesco Ironing Water Spring Fresh 1Lt,3,IN_STORE,0.8
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Beef Rump Steak 255G,1,IN_STORE,3.8
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1,IN_STORE,5
38,IN_STORE,NA,3720,NA,38,16:17.9,38,NA,SOUTHWARK PFS,Petrol,UNLEADED,1,IN_STORE,1.33
1.6,IN_STORE,NA,3189,NA,1.6,24:51.2,1.6,NA,SOUTHWARK,SuperStore,Tesco Finest King Oyster Mushrooms 150G,1,IN_STORE,1.6
25.73,IN_STORE,5,3189,NA,20.73,24:12.6,20.73,NA,SOUTHWARK,SuperStore,Off The Eaten Path Pea & Bean Stick Sea Salt 100G,1,IN_STORE,2.25
,,,,,,,,,,,Tesco Watermelon Wedges 550G,1,IN_STORE,2.5
,,,,,,,,,,,Botanica Airwick Vanilla & Himalayan Magnolia 205G,1,IN_STORE,7
,,,,,,,,,,,Willow Farm Chicken Thighs 900G - 1.2Kg,1,IN_STORE,1.73
,,,,,,,,,,,Off The Eaten Path Black Pepper Pea & Bean Stick 1...,1,IN_STORE,2.25
,,,,,,,,,,,Tesco Pork Ribs 700G,1,IN_STORE,4.2
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1,IN_STORE,5
,,,,,,,,,,,Tesco Ironing Water Spring Fresh 1Lt,1,IN_STORE,0.8
42.25,IN_STORE,NA,2453,NA,42.25,05:37.8,42.25,NA,EDINBURGH,SuperStore,Malcolm Allan Steak Lorne Sausage 260G,1,IN_STORE,2
,,,,,,,,,,,Tesco Watermelon Wedges 550G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Red Organic Onions 535G,1,IN_STORE,1.25
,,,,,,,,,,,Grahams Skyr Passion Fruit Mango & Papaya 450G,1,IN_STORE,0.99
,,,,,,,,,,,Tesco Balsamic Vinegar Of Modena 250Ml,1,IN_STORE,1
,,,,,,,,,,,Bells Puff Pastry 212G,1,IN_STORE,0.73
,,,,,,,,,,,Mackies Haggis & Cracked Black Pepper Crisps 150G,2,IN_STORE,0.99
,,,,,,,,,,,Tesco British Chicken Thigh Fillets 1Kg,1,IN_STORE,5
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,3,IN_STORE,3
,,,,,,,,,,,Galbani Italian Burrata Cheese 150G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Strawberries 400G,1,IN_STORE,2
,,,,,,,,,,,Tesco Unsmoked Lardons 200G,1,IN_STORE,2
,,,,,,,,,,,Simon Howie Beef Olives 400G,1,IN_STORE,3.5
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Finest Sweet Mini Peppers 220G,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1,IN_STORE,1.6
,,,,,,,,,,,Counter Smoked Processed Cheese 200G,1,IN_STORE,2.2
,,,,,,,,,,,Tesco Wild Rocket 60G,1,IN_STORE,1
72.84,IN_STORE,3.19,4425,NA,69.65,32:23.1,69.65,NA,DUNFERMLINE FRE STAON,SuperStore,Nightingale Farms Baby Plum Tomatoes 250G,1,IN_STORE,0.65
,,,,,,,,,,,Mothers Pride Plain Medium White Bread 800G,1,IN_STORE,1.1
,,,,,,,,,,,Rosedene Farms Raspberries 125G,1,IN_STORE,1.24
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
,,,,,,,,,,,Mackie Indulgent Madagascan Vanilla 1 Litre,1,IN_STORE,3.5
,,,,,,,,,,,T.Ready To Eat Large Avocados Each,1,IN_STORE,0.85
,,,,,,,,,,,Mackies Raspberry Ripple Ice Cream 1 Litre,1,IN_STORE,3
,,,,,,,,,,,Kettle Chips Thai Sweet Chilli 150G,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Luxury Soft Toilet Tissue 9 Roll White,1,IN_STORE,2.95
,,,,,,,,,,,Rosedene Farms Strawberries 227G,1,IN_STORE,1.39
,,,,,,,,,,,Nescafe Dolce Gusto Coconut Flat White Coffee Pods...,1,IN_STORE,3.5
,,,,,,,,,,,Tesco Smoked Bacon Medallions 250G,1,IN_STORE,2.25
,,,,,,,,,,,Rr Spink & Sons Hot Smoked Salmon 120G,1,IN_STORE,4
,,,,,,,,,,,Tesco Aubergine Each,1,IN_STORE,0.7
,,,,,,,,,,,Highland Game Venison Steaks Whisky Jus 325G,1,IN_STORE,6.75
,,,,,,,,,,,Kleinkaroo 2 Ostrich Fillet Steaks 250G,1,IN_STORE,5.25
,,,,,,,,,,,Tesco Baby Cucumbers 200G,2,IN_STORE,1
,,,,,,,,,,,Deli Kitchen 4 Greek Style Flatbreads 320G,1,IN_STORE,1.35
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,1,IN_STORE,3
,,,,,,,,,,,Tesco Ripe Bananas 5 Pack,1,IN_STORE,0.69
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,2,IN_STORE,0.37
,,,,,,,,,,,Tesco Smoked Mackerel Flakes 120G,1,IN_STORE,2
,,,,,,,,,,,Happy Egg Co. Free Range Eggs 10 Mixed Weight,1,IN_STORE,2.2
,,,,,,,,,,,Tesco Carrots 1Kg,1,IN_STORE,0.4
,,,,,,,,,,,Nescafe Dolce Gusto Starbucks Espresso Roast 12 Ca...,1,IN_STORE,4
,,,,,,,,,,,Nescafe Dolce Gusto Cafe Au Lait Coffee Pods 16 Se...,1,IN_STORE,3.5
,,,,,,,,,,,The Big Prawn Co Big & Juicy Crayfish 120G,1,IN_STORE,3.9
,,,,,,,,,,,Tarbert Honey Salmon Slices 100G,1,IN_STORE,3
,,,,,,,,,,,Nescafe Dolce Gusto Americano Coffee 16 Pods 128G,2,IN_STORE,3.5
34,IN_STORE,NA,3720,NA,34,05:25.4,34,NA,SOUTHWARK PFS,Petrol,UNLEADED,1,IN_STORE,1.33
86.83,IN_STORE,10.92,3189,NA,75.91,14:52.9,75.91,NA,SOUTHWARK,SuperStore,Gu Inspirations Cookies & Cream Desserts 2X85g,1,IN_STORE,3
,,,,,,,,,,,Deli Kitchen 4 Greek Style Flatbreads 320G,2,IN_STORE,1.35
,,,,,,,,,,,Highland Spring Sparkling Mineral Water 1.5Lt,3,IN_STORE,0.85
,,,,,,,,,,,Sunpat Peanut Butter Smooth 400G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Asparagus Tips 100G,1,IN_STORE,1.8
,,,,,,,,,,,Sunpat Peanut Butter Crunchy 400G,1,IN_STORE,2.5
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,2,IN_STORE,3
,,,,,,,,,,,Fresh & Naked Just Wild Rocket 60G,1,IN_STORE,0.85
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
,,,,,,,,,,,Nescafe Azera Americano Instant Coffee 100G,1,IN_STORE,5.49
,,,,,,,,,,,Tesco British Chicken Thighs 1Kg,1,IN_STORE,2
,,,,,,,,,,,Method Anti-Bacterial Orange Yuzu 828Ml,1,IN_STORE,3
,,,,,,,,,,,Tesco Blueberries 150G,2,IN_STORE,2
,,,,,,,,,,,Tesco Family Salad 250G +33% Extra Free,1,IN_STORE,1.25
,,,,,,,,,,,Tesco Chewy Banana 300G,1,IN_STORE,3.3
,,,,,,,,,,,Tesco Portobello Flat Mushrooms 150G,1,IN_STORE,1
,,,,,,,,,,,Tesco Pork Ribs 700G,1,IN_STORE,4.2
,,,,,,,,,,,T.Ripe & Ready Twin Pack Avocados,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Galia Melon Each Class 1,1,IN_STORE,1.8
,,,,,,,,,,,Buckwud Organic Maple Syrup 250G,1,IN_STORE,4.38
,,,,,,,,,,,Perfectly Imperfect Apples 800G,1,IN_STORE,0.64
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Red Cabbage Each,1,IN_STORE,0.45
,,,,,,,,,,,Tesco Flaked Almonds 100G,1,IN_STORE,1.5
,,,,,,,,,,,Lavazza A Modo Mio Passionale Coffee 16 Capsules,1,IN_STORE,4.4
,,,,,,,,,,,Tesco Carrots 1Kg,1,IN_STORE,0.4
,,,,,,,,,,,Tesco Meaty Strips Rich In Beef 200G,1,IN_STORE,0.8
,,,,,,,,,,,Suntrail Farms Ripen At Home Nectarine M/Mum4,1,IN_STORE,0.95
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1,IN_STORE,2.75
,,,,,,,,,,,Ecover Softener Apple Blossom & Almond 50W 1.5L,1,IN_STORE,4
,,,,,,,,,,,Hoads Farm Free Range Eggs Medium Box Of 6,1,IN_STORE,1.7
,,,,,,,,,,,Tesco Sweet & Crunchy Salad 250G,1,IN_STORE,0.79
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,2,IN_STORE,1
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1,IN_STORE,5
,,,,,,,,,,,Tesco 10 Tripe Sticks Dog Treats 60G,1,IN_STORE,1
,,,,,,,,,,,Tesco Mango 200G,1,IN_STORE,3
,,,,,,,,,,,Nivea For Men Aqua Cool Antiperspirant Deodorant 2...,1,IN_STORE,1.6
8.55,IN_STORE,NA,3189,NA,8.55,54:33.3,8.55,NA,SOUTHWARK,SuperStore,Highland Spring Sparkling Mineral Water 1.5Lt,3,IN_STORE,0.85
,,,,,,,,,,,Tesco Non-Scratch Sponge Pan Cleaners 6 Pack,1,IN_STORE,1
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1,IN_STORE,5
21.05,IN_STORE,0.43,3189,NA,20.62,48:50.4,20.62,NA,SOUTHWARK,SuperStore,Pedigree Puppy Tasty Bites Chicken 125G,1,IN_STORE,1
,,,,,,,,,,,Yamas Authentic Greek Feta Cheese 200G,1,IN_STORE,1.2
,,,,,,,,,,,Tesco Grated Parmigiano Reggiano 100G,1,IN_STORE,2.2
,,,,,,,,,,,Green Giant No Added Salt Sweet Corn 198G,1,IN_STORE,0.75
,,,,,,,,,,,Galbani Italian Burrata Cheese 150G,1,IN_STORE,2.5
,,,,,,,,,,,Cirio Smooth Passata 3X200g,1,IN_STORE,1.3
,,,,,,,,,,,Kingfisher Bamboo Shoots In Water 225G,1,IN_STORE,1.1
,,,,,,,,,,,Tesco Tie Top Compostable Caddy Liners 20 Pack 10L,1,IN_STORE,1.6
,,,,,,,,,,,Alberto Balsam Coconut & Lychee Shampoo 350Ml,1,IN_STORE,0.95
,,,,,,,,,,,Rocket Salad 100G,1,IN_STORE,1.25
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1,IN_STORE,1.5
,,,,,,,,,,,Tesco Pork Ribs 700G,1,IN_STORE,4.2
,,,,,,,,,,,Tesco Supersweet Mini Corn On The Cob 875G,1,IN_STORE,1.5
49.66,IN_STORE,NA,3720,NA,49.66,15:22.9,49.66,NA,SOUTHWARK PFS,Petrol,San Pellegrino Sparkling Water 500Ml (New),1,IN_STORE,0.65
,,,,,,,,,,,UNLEADED,1,IN_STORE,1.3
21.67,IN_STORE,NA,3720,NA,21.67,13:17.9,21.67,NA,SOUTHWARK PFS,Petrol,UNLEADED,1,IN_STORE,1.28
47.65,IN_STORE,NA,3720,NA,47.65,37:57.6,47.65,NA,SOUTHWARK PFS,Petrol,UNLEADED,1,IN_STORE,1.27
52.2,IN_STORE,NA,3720,NA,52.2,26:06.1,52.2,NA,SOUTHWARK PFS,Petrol,UNLEADED,1,IN_STORE,1.23
38.44,IN_STORE,7.34,3189,NA,31.1,12:50.1,31.1,NA,SOUTHWARK,SuperStore,Tesco Watermelon Wedges 550G,1,IN_STORE,2.5
,,,,,,,,,,,Pot Noodle Chicken & Mushroom 94G +25% Extra Free,1,IN_STORE,0.75
,,,,,,,,,,,Gu Lemon Cheesecake 2X90g,1,IN_STORE,3
,,,,,,,,,,,Light & Free Skyr Strawberry 150G,1,IN_STORE,1
,,,,,,,,,,,Califia Farms Oat Barista Blend 1Ltr,1,IN_STORE,2
,,,,,,,,,,,Graze Bbq Crunch 104G,1,IN_STORE,2.99
,,,,,,,,,,,Philadelphia Original Family Pack 340G,1,IN_STORE,3
,,,,,,,,,,,Arla Skyr Strawberry 150G,1,IN_STORE,1
,,,,,,,,,,,Pot Noodle Sticky Rib 90G,1,IN_STORE,0.75
,,,,,,,,,,,Tesco Beef Rump Steak 255G,3,IN_STORE,3.55
,,,,,,,,,,,Pot Noodle Chinese Chow Mein 90G,1,IN_STORE,0.75
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1,IN_STORE,1
,,,,,,,,,,,Light & Free Skyr Raspberry Yogurt 150G,1,IN_STORE,1
,,,,,,,,,,,Batchelors Super Noodles Mild Curry 90G,1,IN_STORE,0.6
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1,IN_STORE,1.5
,,,,,,,,,,,Gu Salted Caramel Cheesecake 2X92g,1,IN_STORE,3
,,,,,,,,,,,Arla Skyr Nordic Sour Cherry 150G,1,IN_STORE,1
,,,,,,,,,,,Nongshim Instant Shin Cup Noodle Soup 68G,1,IN_STORE,0.95
,,,,,,,,,,,Tesco Wild Rocket 60G,1,IN_STORE,1
35.22,IN_STORE,6.48,3189,NA,28.74,53:37.7,28.74,NA,SOUTHWARK,SuperStore,Tesco Sweet Peppers 500G,1,IN_STORE,1.35
,,,,,,,,,,,Tesco 6 Mini Garlic & Coriander Naans,1,IN_STORE,0.89
,,,,,,,,,,,Tesco Prosciutto Crudo & Salami Platter 120G,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,2,IN_STORE,1.5
,,,,,,,,,,,Kettle Chips Sea Salt & Rosemary 150G,1,IN_STORE,1.99
,,,,,,,,,,,Tesco Folding Camping Chair Grey/Green,2,IN_STORE,8
,,,,,,,,,,,Kettle Chips Seaside Salt & Malt Vinegar 150G,1,IN_STORE,1.99
,,,,,,,,,,,The Ice Co. Ice Cubes 2Kg,1,IN_STORE,1
,,,,,,,,,,,Tesco 4 X Bags Instant Light Lumpwood Charcoal,1,IN_STORE,6.5
13.45,IN_STORE,NA,3189,NA,13.45,17:10.2,13.45,NA,SOUTHWARK,SuperStore,Tesco Honey Roast Salmon Flakes 80G,1,IN_STORE,2.25
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Tesco Nightingale Farm Peppers,1,IN_STORE,0.86
,,,,,,,,,,,Thai Dragon Sriracha Hot Chilli Sauce 455Ml,1,IN_STORE,1.99
,,,,,,,,,,,Birds Eye 2 Hot And Spicy Chicken 200G,1,IN_STORE,1.65
,,,,,,,,,,,Tesco Smoked Mackerel/Crushed Peppercorn,1,IN_STORE,2.83
,,,,,,,,,,,Arla Skyr Vanilla Yogurt 450G,1,IN_STORE,1.25
,,,,,,,,,,,Tesco Sweet Chilli Salmon Flakes 80G,1,IN_STORE,2.25
42.04,IN_STORE,NA,3720,NA,42.04,16:54.4,42.04,NA,SOUTHWARK PFS,Petrol,UNLEADED,1,IN_STORE,1.2
14.44,IN_STORE,2.46,3189,NA,11.98,59:19.1,11.98,NA,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Mccain Home Chips Straight Cut 1Kg,1,IN_STORE,2.29
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1,IN_STORE,1
,,,,,,,,,,,Tesco Cucumber Whole Each,1,IN_STORE,0.43
,,,,,,,,,,,Tesco Clementine Or Sweet Easy Peeler Pack 600G,1,IN_STORE,1.35
,,,,,,,,,,,Arla Skyr Vanilla Yogurt 450G,1,IN_STORE,1.25
,,,,,,,,,,,Tesco Sussex Romaine Lettuce Hearts 2 Pack,1,IN_STORE,1
,,,,,,,,,,,Tesco Blueberries 150G,2,IN_STORE,2
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1,IN_STORE,2.75
12.55,IN_STORE,0.61,3189,NA,11.94,29:12.4,11.94,NA,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1,IN_STORE,0.37
,,,,,,,,,,,Tesco E/Anglian Little Gem Lettuce 2 Pack,1,IN_STORE,0.85
,,,,,,,,,,,Tesco Salmon Fillets 240G,1,IN_STORE,3.25
,,,,,,,,,,,Oatly Oat Drink Semi 1 Litre,1,IN_STORE,1.8
,,,,,,,,,,,Tesco Salad Tomatoes 6 Pack,1,IN_STORE,0.75
,,,,,,,,,,,Schwartz Turmeric 37G,1,IN_STORE,1.6
,,,,,,,,,,,Tesco Organic Whole Cucumber Each,1,IN_STORE,1
,,,,,,,,,,,Califia Farms Xx Espresso Cold Brew Dairy Free Cof...,1,IN_STORE,2.5
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
35.28,IN_STORE,2.45,3189,NA,32.83,39:40.0,32.83,NA,SOUTHWARK,SuperStore,Korean Seaweed Snack 4G,1,IN_STORE,0.7
,,,,,,,,,,,Hoads Farm Free Range Eggs Large Box Of 6,1,IN_STORE,1.95
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1,IN_STORE,0.99
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,2,IN_STORE,0.37
,,,,,,,,,,,Tesco Sesame Breadsticks 125G,1,IN_STORE,0.84
,,,,,,,,,,,Gu 2 Apple & Salted Caramel Sponges 2X82g,1,IN_STORE,3
,,,,,,,,,,,Tesco Radish Pack 240G,1,IN_STORE,0.43
,,,,,,,,,,,Boursin Full Fat Soft Cheese Garlic Herb 150G,1,IN_STORE,2
,,,,,,,,,,,Tesco Greek Cheese Feta 200G,1,IN_STORE,1.2
,,,,,,,,,,,Wilkinson Sword Xtreme 3 Razor 4 Plus 2 Free,1,IN_STORE,3.5
,,,,,,,,,,,Arla Skyr Vanilla Yogurt 450G,1,IN_STORE,1.25
,,,,,,,,,,,Haribo Tangfastics 175G,1,IN_STORE,0.79
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1,IN_STORE,2.75
,,,,,,,,,,,Koko Dairy Free Unsweetened Alternative Drink 1 Li...,1,IN_STORE,1.5
,,,,,,,,,,,Tesco 2 Beef Medallion Steaks 340G,1,IN_STORE,2.99
,,,,,,,,,,,Tesco E/Anglian Little Gem Lettuce 2 Pack,1,IN_STORE,0.85
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1,IN_STORE,1.6
,,,,,,,,,,,E.Wedel Milk Chocolate With Hazelnuts 100G,1,IN_STORE,1
,,,,,,,,,,,Menissez 2 Sourdough Baguettes 250G,1,IN_STORE,1
,,,,,,,,,,,St Agur Blue Veined Cheese 125G,1,IN_STORE,2.4
,,,,,,,,,,,Napolina Whole Wheat Spaghetti 500G,1,IN_STORE,1.28
,,,,,,,,,,,Princes Tuna Chunks In Brine 145G,1,IN_STORE,1.25
